Customer_ID,Customer_Name,Customer_Type_Of_Channel,Customer_City,Customer_Region,percteage_gap_in_Revenue_Between_Recommendation_and_Actual_Orders,percteage_gap_in_Quantiy_Between_Recommendation_and_Actual_Orders,percteage_gap_in_Number_OF_SKU_Recommendation_and_Actual_Orders,Number_of_days_since_last_order,Total_Net_Revenue_of_Orders_in_Last_30Days,Unique_SKU_per_Order_in_Last_30_days,Volume_of_BEER_per_Order_in_Last_6_Months,Average_Monthly_Net_Revenue_of_Orders_in_Last_6_Months,Average_Unique_SKU_per_Order_in_Last_6_Months,Average_volume_of_BEER_per_Order_in_Last_6_Months
0010Y00001aLJ29QAG,kiprotich hotel C2,Mainstream,East,East,76.62328460742492,23.618037465827953,4.545454545454547,11,126519.15888272531,3,0.42000000000000004,165640.0996846902,3.142857142857143,0.5684285714285714
0010Y00001aLJ6QQAW,Now days pub B1,Low End,East,East,69.40088989106222,29.621329066155994,3.448275862068968,13,189983.7968777445,4,0.6000000000000001,269945.1330308999,4.142857142857143,0.8961428571428572
0010Y00001aLJ8gQAG,savannah annex B1,Low End,East,East,67.72485865587828,20.75668348337598,10.0,13,209248.79695354056,3,0.66,264058.6060146074,3.3333333333333335,0.9073333333333333
0010Y00001aLJA3QAO,The Feathers bar B1,Low End,East,East,81.6286067940648,48.71527764427548,25.0,16,161630.16612467472,3,0.52,315162.4084138835,4.0,1.0774285714285714
0010Y00001aLJAIQA4,Town pub B2,Low End,East,East,76.62679635735363,40.066147879941774,16.0,13,148034.51877708756,3,0.46,246996.502878787,3.5714285714285716,0.8504285714285714
0010Y00001bhEBhQAM,Ivan's depot AlwiC1,Reseller,West,West,22.14404737014651,7.138268474873257,18.181818181818173,6,1800723.875826872,3,5.5,1939145.271418537,3.6666666666666665,5.922833333333333
0010Y00001bhFP9QAM,Africana B2,Low End,East,East,44.21415130858587,7.710879556163334,18.181818181818173,8,194440.2711642154,3,0.65,210686.01610798066,3.6666666666666665,0.6911666666666667
0010Y00001bhFPnQAM,Bampalana stk B3,Reseller,East,East,41.92497338120655,44.444308896417304,6.666666666666657,3,4177455.104104408,4,12.698,7519400.841068847,4.285714285714286,24.511571428571425
0010Y00001bhFSNQA2,Columbano B2,Mainstream,East,East,35.580390878752695,13.425640863555145,16.0,13,212251.37572268915,3,0.66,245166.55721143945,3.5714285714285716,0.7731428571428572
0010Y00001bhFSSQA2,Crane Bar (Iganga) C2,Mainstream,East,East,69.38668972153278,51.71639121334852,4.0,14,177938.20637534276,4,0.616,368527.14792216546,4.166666666666667,1.1408333333333334
0010Y00001bhFSXQA2,Da Posh Pub C2,Mainstream,East,East,86.76713121197405,78.1209436899184,5.4054054054054035,14,169561.74241548992,5,0.585,774995.685427977,5.285714285714286,2.418057142857143
0010Y00001bhFT1QAM,Ensulo B2,Low End,East,East,49.884031981280444,32.08635779901989,18.181818181818173,8,148034.51877708756,3,0.46,217974.6424716876,3.6666666666666665,0.7151666666666667
0010Y00001bhFTGQA2,Evening Glory xx,Mainstream,East,East,54.09973009314419,18.47758552102232,10.0,13,148034.51877708756,3,0.46,181587.5053789795,3.3333333333333335,0.5601666666666667
0010Y00001bhFUnQAM,Green gate B2,Low End,East,East,63.42829299970935,41.32948430091807,19.23076923076924,13,161630.16612467472,3,0.52,275487.8906360182,3.7142857142857144,0.9219999999999999
0010Y00001bhFVbQAM,Hi Klas Pub & Grill1     EastC2,Mainstream,East,East,73.98666254823344,55.62130763973546,40.0,8,169549.8786714498,2,0.5,382052.4437607362,3.3333333333333335,1.1811666666666667
0010Y00001bhFW0QAM,Hotel Continental B2,Mainstream,East,East,56.477821882109986,55.50944102712783,9.677419354838719,14,149684.6450282139,4,0.441,336441.36752582307,4.428571428571429,0.9799142857142858
0010Y00001bhFWUQA2,JB G/h Namutumba C2,Mainstream,East,East,72.45919341234517,57.38730324429642,27.58620689655173,8,159329.263922266,3,0.55,373900.91698653233,4.142857142857143,1.3458571428571429
0010Y00001bhFXSQA2,Joy Guesthouse B2,Mainstream,East,East,53.661517670368866,35.85522369622609,7.692307692307693,9,143819.06156620098,3,0.51,224210.0913800201,3.25,0.71375
0010Y00001bhFXwQAM,Kagolo C2,Mainstream,East,East,57.90005148130071,41.582417426115526,12.5,16,154412.13014463952,4,0.5700000000000001,264324.751797705,4.571428571428571,0.9135714285714286
0010Y00001bhFYQQA2,Kasozi Bar  B2,Low End,East,East,52.77555874652715,36.467822062260694,38.23529411764705,18,700939.6167659395,3,2.075,1103282.8395287362,4.857142857142857,3.568142857142857
0010Y00001bhFaWQAU,M.M guesthouse C2,Mainstream,East,East,77.4053366680026,66.99185239726734,3.225806451612911,12,160220.65646973546,5,0.501,485397.29765529535,5.166666666666667,1.5961666666666667
0010Y00001bhFbKQAU,Mama Rogers (Bulanga) B3,Reseller,East,East,5.266665335521267,4.367633671327411,7.547169811320757,4,74637486.79529418,7,271.83,78046261.59597214,7.571428571428571,284.9282
0010Y00001bhFbZQAU,Elgon Pub,Low End,namawojja,East,63.63367975506956,46.42529534525231,27.58620689655173,8,194440.2711642154,3,0.65,362932.97819791985,4.142857142857143,1.178857142857143
0010Y00001bhFcNQAU,Mugalya stk C3,Reseller,East,East,89.72396511412249,88.21072661319697,2.7777777777777857,16,323780.698963164,5,1.16,2746400.803001189,5.142857142857143,8.998857142857142
0010Y00001bhFcwQAE,Muteesi Bar B2,Low End,East,East,54.71996262590446,40.99293486821458,28.0,14,180142.94724988838,3,0.56,305290.47131485026,4.166666666666667,1.0781666666666667
0010Y00001bhFdaQAE,Nabi Impex C2,Mainstream,East,East,60.841294858238776,21.518919249544595,41.666666666666664,16,204660.88591339922,2,0.6000000000000001,260777.35418062736,3.4285714285714284,0.828857142857143
0010Y00001bhFe9QAE,Nalumasi B2,Mainstream,East,East,60.486776787908404,43.98857334648697,12.5,8,158486.4680211238,3,0.5,282953.81405212526,3.4285714285714284,0.9294285714285715
0010Y00001bhFg5QAE,PM Pub B2,Low End,East,East,67.36944800371151,53.04511391869598,4.0,12,145829.77790254197,4,0.516,310574.23427677504,4.166666666666667,0.9760333333333334
0010Y00001bhFgoQAE,Tommie LoungeB2,Mainstream,East,East,89.36918303128658,76.54052745769057,12.5,14,148034.51877708756,3,0.46,631022.3663814503,3.4285714285714284,1.885857142857143
0010Y00001bhFhSQAU,Safari (Iganga) B2,Mainstream,East,East,58.20983777818806,48.113446448205494,36.36363636363637,16,195292.55952073875,3,0.5750000000000001,376383.75677774136,4.714285714285714,1.2175714285714285
0010Y00001bhFhhQAE,Sana Resort Hotel B2,Mainstream,East,East,42.1742702913318,22.987134730845,25.0,14,221438.3922624243,3,0.775,287534.28597742907,4.0,0.8973333333333334
0010Y00001bhFiQQAU,Queens palace Pub,Mainstream,East,East,64.6848466216789,37.66565834073358,25.0,2,192332.5425587721,3,0.675,308549.88989874185,4.0,1.0395333333333334
0010Y00001bhFkWQAU,MD stores A3,Reseller,East,East,63.76667148724801,37.1475172773067,1.7543859649122737,1,66526725.480398156,8,230.92000000000002,105845819.60575162,8.142857142857142,384.1540857142857
0010Y00001bhFlAQAU,Vantage Point Pub C2,Mainstream,East,East,64.16768479739554,42.03217985973089,7.692307692307679,16,124411.43027728202,4,0.445,214621.54342915482,4.333333333333333,0.6786666666666666
0010Y00001bhFonQAE,Freedom Bar & Lodges A1,Low End,West,West,66.7426709291128,12.408439886745441,10.256410256410248,14,674991.1693561752,5,2.2,770612.1097551201,5.571428571428571,2.5548571428571427
0010Y00001bhFvAQAU,Modern pub & Lodges A1,Low End,West,West,91.8089276020233,90.66900128837291,2.3255813953488484,14,592998.142580329,6,2.016,6355141.190207333,6.142857142857143,20.332142857142856
0010Y00001bhFvFQAU,Moses C3,Reseller,West,West,27.804660511820586,6.467343448676516,31.42857142857143,6,6106222.43686298,4,19.775,6528439.009440898,5.833333333333333,20.981333333333335
0010Y00001bhFxpQAE,Paradise Bar(Charlesf) A1,Low End,West,West,93.75671001137565,86.36726372986348,8.695652173913047,14,446907.8318685115,6,1.5570000000000002,3278196.1230152673,6.571428571428571,10.583428571428572
0010Y00001bhFyOQAU,Pian BarA1,Low End,West,West,91.92905004581189,84.50541775955728,2.702702702702709,14,785861.2140867149,6,2.673,5071845.125553128,6.166666666666667,16.956833333333332
0010Y00001bhFzqQAE,Savino Kurubaija C1,Reseller,West,West,95.46226538636182,93.49386086463743,6.25,23,427723.1125555449,5,1.3820000000000001,6574146.41243618,5.333333333333333,22.3125
0010Y00001bhGMQQA2,Paida bar B2,Low End,East,East,90.21207510106309,71.947278816043,50.0,1,30000.6998673575,1,0.125,106943.9918880829,2.0,0.3664
0010Y00001bhGZUQA2,Moze Reseller C2,Reseller,East,East,39.34486850253633,47.042347303124366,25.0,18,2351014.845153708,3,7.75,4439424.191647398,4.0,14.767857142857142
0010Y00001bhGcTQAU,JWRIGHT DEPOTC2,Reseller,East,East,57.808855733177026,33.29075401261797,38.23529411764705,10,2103388.8594622584,3,7.25,3153069.4558594045,4.857142857142857,11.31
0010Y00001bhGfSQAU,African paradise1B2,Low End,East,East,46.84769472053535,1.7695829096740283,14.285714285714292,9,240144.34698460335,4,0.81,244470.4543642353,4.666666666666667,0.81
0010Y00001bhGhxQAE,Bugabula Guesthoude C2,Mainstream,East,East,61.858192423973136,9.551846887891614,22.22222222222223,9,127220.8354494652,3,0.45,140656.08978414178,3.857142857142857,0.485
0010Y00001bhGjeQAE,Crest Resort B2,Low End,East,East,68.69144280996544,3.640666830767614,4.545454545454547,9,129328.5640549085,3,0.42500000000000004,134214.88069845134,3.142857142857143,0.4508571428571429
0010Y00001bhGlLQAU,Mama Diya StockistC2,Reseller,East,East,99.23191437173008,97.46750319033121,50.0,14,35111.0072419494,1,0.1,1386418.6169119596,2.0,4.423666666666667
0010Y00001bhGlQQAU,Paradise Pub (Kamuli)B2,Low End,Igayaza,East,47.185259406894566,11.47393133907714,9.090909090909093,2,337364.4825667111,5,1.135,381090.55069292866,5.5,1.2743333333333333
0010Y00001bhGm9QAE,Golden Mango B2,Low End,East,East,82.22437615850586,57.37231960679271,6.25,9,129328.5640549085,5,0.42500000000000004,303391.0427730357,5.333333333333333,1.0006666666666668
0010Y00001bhGo0QAE,Ocean Pub BukunguA2,Low End,East,East,71.98826570543038,41.55313111487963,11.111111111111114,2,119160.00356828781,4,0.45,203877.48025048443,4.5,0.714
0010Y00001bhGq1QAE,Kasubi InnB2,Low End,East,East,57.83893900026227,0.7932887711106531,16.0,3,127220.8354494652,3,0.45,128238.13416810257,3.5714285714285716,0.4572857142857143
0010Y00001bhGqGQAU,Kilya WilsonC3,Reseller,East,East,99.31097022345342,96.47980915100989,64.70588235294119,14,35111.0072419494,1,0.1,997417.7181905402,2.8333333333333335,3.2005
0010Y00001bhGrTQAU,K.Club B2,Mainstream,East,East,92.32220592438088,89.39502347281991,3.9215686274509807,3,192332.5425587721,7,0.675,1813606.4899892271,7.285714285714286,4.980114285714286
0010Y00001bhGttQAE,moonlight bar B2,Low End,East,East,85.37785168894212,76.76387749963449,10.256410256410248,1,240144.34698460335,5,0.81,1033495.7864885841,5.571428571428571,3.0601142857142856
0010Y00001bhGv1QAE,Mumbejja Guesthouse A2,Low End,East,East,68.36246825507382,36.5469583994674,9.677419354838719,3,127220.8354494652,4,0.45,200496.03965461816,4.428571428571429,0.7138571428571429
0010Y00001bhGvLQAU,mutala stockist1C3,Reseller,East,East,95.1100276413096,94.45657339559509,36.84210526315789,14,236043.13868660817,2,0.9999999999999999,4258072.768547952,3.1666666666666665,13.701666666666666
0010Y00001bhGvVQAU,Najja HouseB2,Low End,East,East,55.52459435292099,28.69231436496088,9.677419354838719,3,140816.48279705236,4,0.51,197477.28669496748,4.428571428571429,0.6787142857142857
0010Y00001bhGwTQAU,Napita Restaurant B2,Low End,East,East,45.53724361575756,19.62224548961069,6.666666666666657,3,129328.5640549085,4,0.42500000000000004,160900.9418622064,4.285714285714286,0.535
0010Y00001bhGwnQAE,M.B Traders ( Kidera)C3,Reseller,East,East,98.97338998241193,96.50079462838742,53.84615384615384,14,30000.6998673575,1,0.125,857357.5049563879,2.1666666666666665,2.755333333333333
0010Y00001bhGx2QAE,Nteeba StockistC3,Reseller,East,East,98.75112825132341,96.74441010389008,66.66666666666666,14,30000.6998673575,1,0.125,921513.4837224133,3.0,3.0204285714285715
0010Y00001bhGyeQAE,Peace Cottage Bar&LodgeB2,Low End,East,East,66.12057598235361,42.09470272504615,7.692307692307679,2,127220.8354494652,4,0.45,219705.00357744098,4.333333333333333,0.7666666666666667
0010Y00001bhGzrQAE,Sande Stockist C2,Reseller,East,East,98.88948385818864,96.76218945708328,56.25,14,35111.0072419494,1,0.1,1084405.8593471735,2.2857142857142856,3.5104285714285717
0010Y00001bhH3FQAU,Bambu sea Ecopark B2,Mainstream,East,East,54.510924169616295,28.474168905765296,21.73913043478261,7,366097.8784411085,3,1.125,511840.09027281,3.8333333333333335,1.5088333333333335
0010Y00001bhH8FQAU,Kayanja&Sons C2,Reseller,East,East,77.18423106025163,50.87415209709593,2.0,1,1077036.4757365629,7,3.978,2192402.821963087,7.142857142857143,7.424857142857142
0010Y00001bhHBJQA2,Mj Traders B2,Reseller,East,East,96.23415288279907,94.15621094565506,6.666666666666671,11,129367.66824585461,7,0.451,2213763.485348057,7.5,7.582000000000001
0010Y00001bhHdBQAU,Jacks bar1        East B2,Low End,East,East,89.41205393715744,83.38865745269662,20.0,22,201658.3071442506,6,0.6000000000000001,1213979.5839499256,7.5,4.346166666666666
0010Y00001bhHeTQAU,LPC pu        East B2,Low End,East,East,92.44775856037282,87.71403386457062,13.793103448275858,13,194440.2711642154,5,0.65,1582620.9271691118,5.8,5.2062
0010Y00001bhHjxQAE,Petua Gardens        East C2,Mainstream,East,East,92.14261260870879,86.20388374036698,3.225806451612911,28,134438.8714295004,5,0.4,974468.9657542539,5.166666666666667,3.0508333333333333
0010Y00001bhHkCQAU,Savanah Inn       Soroti B2,Mainstream,East,East,69.20822921138193,52.84871580644972,2.3255813953488342,3,1743059.5214421465,7,5.57,3696738.1721505173,7.166666666666667,11.569533333333334
0010Y00001bhHl0QAE,Akols Bar B2,Low End,East,East,73.67380799922975,66.03302785478775,2.0,1,1092535.5674265858,7,3.846,3216464.4018191723,7.142857142857143,11.53657142857143
0010Y00001bhHljQAE,Strikers Club A2,Mainstream,East,East,75.86377028412942,60.50717346482706,20.0,20,1406964.4530823424,4,4.25,3562582.3130924236,5.0,10.512733333333333
0010Y00001bhHmcQAE,Toroma Min Depot C1,Reseller,East,East,43.56466833493843,61.54466644113397,30.0,5,1801429.4724988835,3,5.6,4684472.362569215,4.285714285714286,14.538857142857143
0010Y00001bhHnLQAU,Jack's pub  East B2,Low End,East,East,93.56956481296199,77.9605901881745,20.0,20,252738.95956231197,6,0.851,1146759.1996347476,7.5,4.193833333333333
0010Y00001bhHrhQAE,De boss Bar & Rest B2,Mainstream,West,West,95.31443036710972,93.24936737534196,75.0,10,30000.6998673575,1,0.125,444413.16148317646,4.0,1.4481428571428572
0010Y00001bhHuWQAU,Good Life Bar Mubende B2,Mainstream,West,West,44.10863488269571,23.26756759929222,20.0,8,221077.80217720964,4,0.75,288115.20143491554,5.0,0.9715714285714286
0010Y00001bhHuvQAE,Green Land Pub Kangulumira A2,Low End,West,West,92.16683337300844,87.98384207688822,80.0,10,29802.244598955123,1,0.125,248018.08356424604,5.0,0.8385714285714286
0010Y00001bhHwIQAU,Homeland Guest House Inn C2,Mainstream,West,West,85.53086369913875,50.84036660667421,33.33333333333333,9,32108.4284728008,1,0.1,65314.621482022754,1.5,0.21366666666666667
0010Y00001bhHyxQAE,Katabalanga Highway shop B2,Reseller,West,West,68.37476546863017,67.11458324179557,36.36363636363637,9,2238320.2302829106,3,8.125,6806421.967343574,4.714285714285714,23.43942857142857
0010Y00001bhHzRQAU,Kirungi Grocery,Low End,West,West,93.35784673210328,80.21013372421064,55.55555555555556,9,30000.6998673575,1,0.125,151596.27381646296,2.25,0.5640000000000001
0010Y00001bhHzlQAE,BRENDA'S DEPOTB2,Reseller,West,West,99.79543199587593,99.83086958007017,76.66666666666666,10,13595.64734758716,1,0.06,8038558.263633454,4.285714285714286,26.561857142857143
0010Y00001bhI0FQAU,KK ll Comfort zone B2,Mainstream,West,West,93.04220163434589,86.81388855300303,77.77777777777777,9,32108.4284728008,1,0.1,243501.8739365594,4.5,0.7865000000000001
0010Y00001bhI0oQAE,Lavanda Bar Guest House B1,Mainstream,West,West,93.64119024439893,87.91103164480205,78.78787878787878,9,30000.6998673575,1,0.125,248165.92273118117,4.714285714285714,0.8295714285714286
0010Y00001bhI1XQAU,Maama Moureen Depot Kyenda,Reseller,West,West,89.06542530916518,63.35793050009998,45.45454545454545,9,30000.6998673575,1,0.125,81875.01491267943,1.8333333333333333,0.271
0010Y00001bhI1cQAE,Mama Ferdinand Stores B2,Reseller,West,West,99.75359977589326,99.80445107261399,74.07407407407408,9,32108.4284728008,1,0.1,16419639.269827183,3.857142857142857,57.742000000000004
0010Y00001bhI1mQAE,Mama Grace Stockists A3,Reseller,West,West,50.70343031291695,60.066833149467854,23.91304347826086,9,19531885.751564804,5,67.86,48911437.01342716,6.571428571428571,170.725
0010Y00001bhI2GQAU,Margaret's Bar & Restaurant B2,Low End,West,West,91.27017434972463,83.52303752530395,76.0,9,32108.4284728008,1,0.1,194868.61441913364,4.166666666666667,0.6315000000000001
0010Y00001bhI3nQAE,Mulalira Stockist Kiganda A1,Reseller,West,West,97.61167078156868,99.08678544111925,44.44444444444444,9,32108.4284728008,1,0.1,3515978.601146412,1.8,10.674000000000001
0010Y00001bhI6mQAE,Ntege Classic Shop B2,Reseller,West,West,55.84922569739476,17.382972603224204,31.707317073170728,2,39443782.56949996,4,140.15,47742921.54094047,5.857142857142857,167.6195142857143
0010Y00001bhI6wQAE,Panorama Suites B2,Mainstream,West,West,93.27897741351042,89.02351709862013,73.91304347826087,8,30000.6998673575,1,0.125,273317.96657366515,3.8333333333333335,0.8481666666666667
0010Y00001bhI7LQAU,Lutalo's Depot B2,Reseller,West,West,99.86374628404613,99.82668573423756,78.57142857142857,9,30000.6998673575,1,0.125,17310000.267652076,4.666666666666667,61.7125
0010Y00001bhI7uQAE,Pride Travellers Hotel B1,Mainstream,West,West,92.2352340695653,86.76261207784155,72.72727272727272,8,30000.6998673575,1,0.125,226636.10104783942,3.6666666666666665,0.7261666666666667
0010Y00001bhI8JQAU,Regina's Pub B2,Low End,West,West,94.85999678960414,91.49292036779366,80.0,8,30000.6998673575,1,0.125,352655.6840232224,5.0,1.1758333333333335
0010Y00001bhIAhQAM,Shooters Pub B1,Mainstream,West,West,97.02314598468868,96.16472830666896,78.125,7,30000.6998673575,1,0.125,782231.410607083,4.571428571428571,2.4010857142857143
0010Y00001bhIc7QAE,Bakidawo 2 C3,Reseller,West,West,99.84117355560939,99.80805049066606,78.57142857142857,28,30000.6998673575,1,0.125,15629474.631875036,4.666666666666667,54.7905
0010Y00001bhIeSQAU,Da New Depot C3,Reseller,West,West,81.19582988070691,72.32129633081544,20.0,23,830843.9327700397,4,2.925,3001744.383336277,5.0,10.423166666666667
0010Y00001bhIgiQAE,Atkon Hotel C1,Mainstream,West,West,87.33369971951097,72.55024652477144,53.33333333333333,7,64216.8569456016,1,0.2,233943.29207201346,2.142857142857143,0.7052857142857143
0010Y00001bhIhbQAE,Icon pub B2,Low End,West,West,82.45608144420525,71.1424850139817,4.545454545454547,13,531747.5439522859,6,1.8410000000000002,1842665.7465478987,6.285714285714286,6.199
0010Y00001bhIiAQAU,Prime gardens B2,Mainstream,West,West,85.78293409483811,72.60251969928352,52.0,11,100222.7143512563,2,0.325,365809.9695709439,4.166666666666667,1.2065
0010Y00001bhIjDQAU,Kiboga Resort C2,Mainstream,West,West,89.5044187806807,80.7453702728221,48.14814814814815,14,100024.25908285393,2,0.325,519481.6026073444,3.857142857142857,1.6087142857142858
0010Y00001bhIjXQAU,Kiseka stockist  C3,Reseller,West,West,65.94317227945822,0.5744138439452229,20.0,15,1815774.3186439613,4,6.094,1826264.6355375648,5.0,6.3434285714285705
0010Y00001bhIlTQAU,Maama Boy's bar A3,Low End,West,West,89.5529703230388,73.21856438121934,25.0,3,955105.8211940192,3,3.15,3566298.068518196,4.0,11.933428571428573
0010Y00001bhImRQAU,Mahaba stc'st B3,Reseller,West,West,97.89266722681272,97.92705780133063,16.666666666666657,15,65111.7071093069,2,0.225,3141028.5897553083,2.4,10.6132
0010Y00001bhIomQAE,New life depot kikuubo C3,Reseller,West,West,93.29547960176556,85.8412948612974,25.0,23,974266.0837994358,5,3.435,6881039.433021982,6.666666666666667,23.29133333333333
0010Y00001bhIu6QAE,Tumwiine peter stc'st B2,Reseller,West,West,97.45533866677806,96.49361265837241,58.8235294117647,10,129826.50368180906,2,0.45,3702571.65089885,4.857142857142857,13.450714285714286
0010Y00001bhIxPQAU,Country Side Resort B2,High End,East,East,93.8725757649446,83.27064910897576,40.0,1,30000.6998673575,1,0.125,179329.73050050435,1.6666666666666667,0.6333333333333334
0010Y00001bhJCFQA2,Anyapu Guest House B2,Low End,West,West,98.03358962697723,95.94772399086268,74.07407407407408,15,30000.6998673575,1,0.125,740341.9658411742,3.857142857142857,2.513428571428572
0010Y00001bhJD3QAM,Bosco OryemaB2,Reseller,West,West,70.19354769426897,42.609057515687105,17.647058823529406,3,11889741.319185587,6,43.836,20717104.136136986,7.285714285714286,81.1558
0010Y00001bhJE1QAM,David Anyima Stockist B2,Reseller,West,West,72.15900290296874,52.37124265257804,20.0,15,3424089.8822516883,4,12.79,7189122.85969398,5.0,26.406
0010Y00001bhJEpQAM,Fabpado Restaurant B2,Low End,West,West,84.15061160999109,63.861383863093664,34.883720930232556,9,306523.35808687034,4,1.17,848187.8689699888,6.142857142857143,2.954657142857143
0010Y00001bhJEuQAM,FilfredaC3,Low End,West,West,94.91387814527853,96.7126346025952,50.0,16,43596.34721494466,2,0.185,1326178.928857791,4.0,4.864085714285714
0010Y00001bhJFEQA2,Friendsland Guest Bar B2,Mainstream,West,West,87.02612350597923,70.216653939069,15.151515151515156,17,122303.70167183873,4,0.47,410644.59789584705,4.714285714285714,1.4034285714285715
0010Y00001bhJFJQA2,Zuru Bar B2,Low End,West,West,97.3000971688559,91.68489055242236,77.27272727272728,30,35111.0072419494,1,0.1,422255.5032294608,4.4,1.416
0010Y00001bhJH5QAM,Dan's store dokoloC2,Reseller,West,West,96.5531230131899,88.25428491801122,11.111111111111114,17,324856.8589797946,4,1.095,2765747.8213305175,4.5,9.407166666666667
0010Y00001bhJHPQA2,LamcoC1,Mainstream,West,West,94.76030844854267,87.40757978564508,50.0,16,32108.4284728008,1,0.1,254982.18711124582,2.0,0.7958333333333334
0010Y00001bhJI3QAM,Lobo Lobo Pub B3,Low End,West,West,96.92652155902701,94.9024803893779,82.05128205128204,12,60001.399734715,1,0.25,1177070.5032636924,5.571428571428571,3.982
0010Y00001bhJIIQA2,Maka Atek Spot B2,Low End,West,West,70.64600634136143,21.736131715935684,66.66666666666666,10,150003.4993367875,1,0.625,191663.79406693656,3.0,0.7320000000000001
0010Y00001bhJIrQAM,Molly Stockist C2,Reseller,West,West,70.79934786576176,44.78440405462977,14.285714285714292,1,25184703.21558773,6,93.62100000000001,45611575.46955615,7.0,175.69074285714285
0010Y00001bhJJVQA2,Northern Pub B2,Low End,West,West,28.026892870134546,5.9192086133849955,30.232558139534888,11,582177.6471107185,5,1.845,618806.0692626633,7.166666666666667,2.018466666666667
0010Y00001bhJK4QAM,Okello Denis B2,Reseller,West,West,69.64677128610775,41.32596647456542,64.70588235294119,10,120002.79946943,1,0.5,204524.5439235229,2.8333333333333335,0.759
0010Y00001bhJKJQA2,Okello        Iceme B2,Low End,West,West,92.70229102899086,87.24849056074189,76.0,10,60001.399734715,1,0.25,470543.5071865961,4.166666666666667,1.6096666666666666
0010Y00001bhJLbQAM,Pamela Shop A2,Reseller,West,West,50.18248182891351,16.6102829984536,8.695652173913047,1,28171733.821837597,6,112.221,33783222.72195164,6.571428571428571,131.36271428571428
0010Y00001bhJNmQAM,Steven Ocan C2,Reseller,West,West,64.3347490035288,46.16683453662679,6.666666666666671,3,11726309.918385632,6,44.966,21782686.968991134,6.428571428571429,83.53885714285714
0010Y00001bhJOfQAM,Town View Amolatar B2,Mainstream,West,West,57.60669507327109,33.514185665099774,15.517241379310349,1,13424106.4483922,7,52.137,20190933.33319604,8.285714285714286,74.03162857142857
